store_name,rider_name,store_delivery,rider_store,packaging_time,rating,output
Superstore Save-On-Foods,Rakesh,1.577,1.944,1.4,5,2
Superstore Save-On-Foods,Rahul,1.575,3.107,1.3,5,2
Clover Grocery,Dipak,1.559,2.627,1.5,1,1
Sunrise Mart,Sambhavi,1.551,3.839,4.8,2,1
Bromley Food Store,Pauliene,1.55,3.185,6.1,4,2
Bromley Food Store,Janvi,1.53,1.452,5.6,3,4
Clover Grocery,Rakesh,1.529,1.19,5.2,5,4
Sunrise Mart,Yamraj,1.527,3.212,5.8,1,2
Clover Grocery,Vedant,1.525,2.328,3.8,5,4
The Grocery Outlet,Dipak,1.517,1.418,6.5,2,1
Sunrise Mart,Anushka,1.501,1.625,6.7,1,3
Sunrise Mart,Vedant,1.491,3.011,6.9,1,4
The Grocery Outlet,Karthikey,1.485,1.532,5.4,1,5
Pepper’s Grocery,Yamraj,1.485,3.411,5.9,4,2
Bloor Street,Vedant,1.483,1.847,6.0,3,3
Sunrise Mart,Dipak,1.482,3.525,2.3,1,1
Bromley Food Store,Karthikey,1.469,1.584,5.1,5,5
Bloor Street,Anushka,1.463,1.741,1.4,2,4
Sunrise Mart,Sambhavi,1.46,1.695,3.1,4,1
The Grocery Outlet,Vedant,1.449,2.618,4.2,1,3
Bromley Food Store,Dipak,1.449,1.044,6.3,4,5
Bromley Food Store,Sambhavi,1.444,3.998,1.5,2,1
Superstore Save-On-Foods,Pauliene,1.444,3.698,1.9,2,3
The Grocery Outlet,Dipak,1.422,3.504,5.3,1,1
Bloor Street,Janvi,1.413,2.593,2.0,5,4
The Grocery Outlet,Pauliene,1.406,3.271,6.1,2,1
The Grocery Outlet,Janvi,1.404,2.459,5.6,5,3
Pepper’s Grocery,Ananya,1.403,2.591,5.2,3,3
The Grocery Outlet,Rahul,1.397,2.142,3.1,1,5
Bromley Food Store,Vedant,1.389,3.669,3.8,3,5
Bromley Food Store,Rakesh,1.388,2.941,1.4,5,2
Bloor Street,Dipak,1.386,1.884,5.0,3,5
Bromley Food Store,Rakesh,1.367,3.238,3.6,1,4
The Grocery Outlet,Vedant,1.366,1.955,1.7,5,3
Market Real,Yamraj,1.361,2.047,5.3,5,4
Market Real,Anushka,1.353,2.576,4.9,4,5
Clover Grocery,Anushka,1.35,1.4,5.8,5,1
Bromley Food Store,Sambhavi,1.348,3.672,4.1,5,1
Sunrise Mart,Vedant,1.343,3.342,5.8,1,2
Superstore Save-On-Foods,Vedant,1.323,3.649,6.9,4,4
The Grocery Outlet,Vedant,1.319,3.736,3.3,3,2
Sunrise Mart,Janvi,1.297,3.605,4.5,4,3
Pepper’s Grocery,Rahul,1.288,1.172,3.2,3,2
Clover Grocery,Karthikey,1.283,3.722,6.4,4,3
Clover Grocery,Ananya,1.266,1.741,2.9,5,4
Sunrise Mart,Karthikey,1.263,2.626,5.9,4,1
Superstore Save-On-Foods,Rakesh,1.26,1.695,3.5,1,3
Clover Grocery,Rakesh,1.239,3.804,6.1,1,4
Sunrise Mart,Vedant,1.233,3.093,6.1,3,4
The Grocery Outlet,Rakesh,1.231,2.276,6.6,5,5
Sunrise Mart,Rahul,1.225,2.261,6.0,3,4
Superstore Save-On-Foods,Rahul,1.223,1.322,4.8,1,1
Bromley Food Store,Sambhavi,1.219,2.223,3.7,5,4
Sunrise Mart,Rahul,1.218,3.808,4.5,5,4
Clover Grocery,Rakesh,1.209,2.264,5.1,1,4
Market Real,Rahul,1.203,3.439,4.9,1,4
Clover Grocery,Sambhavi,1.193,2.132,2.9,3,3
Pepper’s Grocery,Karthikey,1.189,3.543,3.1,4,4
The Grocery Outlet,Sambhavi,1.183,1.235,4.5,2,2
Sunrise Mart,Sambhavi,1.169,2.962,1.1,4,5
Sunrise Mart,Vedant,1.166,3.101,5.3,4,1
Superstore Save-On-Foods,Vedant,1.158,3.876,5.4,5,4
The Grocery Outlet,Rakesh,1.149,2.969,4.8,2,3
Superstore Save-On-Foods,Karthikey,1.139,3.349,2.2,4,1
Clover Grocery,Rakesh,1.125,3.915,6.5,5,5
Market Real,Pauliene,1.124,1.139,5.7,2,1
Pepper’s Grocery,Pauliene,1.121,3.951,5.5,1,4
Pepper’s Grocery,Sambhavi,1.116,2.195,5.8,1,1
Market Real,Karthikey,1.111,1.435,5.5,3,5
Clover Grocery,Sambhavi,1.1,2.199,1.6,3,2
Bromley Food Store,Karthikey,1.093,3.351,2.8,4,2
Superstore Save-On-Foods,Janvi,1.093,3.538,5.5,2,3
The Grocery Outlet,Yamraj,1.092,2.063,2.5,2,4
Bromley Food Store,Sambhavi,1.091,1.113,6.7,4,2
Sunrise Mart,Janvi,1.08,2.51,4.0,5,4
Bloor Street,Dipak,1.067,2.972,5.6,4,2
The Grocery Outlet,Janvi,1.063,1.905,2.2,5,5
The Grocery Outlet,Dipak,1.057,2.869,4.4,2,3
Bloor Street,Ananya,1.057,1.849,5.6,2,3
Bromley Food Store,Karthikey,1.053,1.534,4.0,1,3
Bloor Street,Vedant,1.043,2.641,4.6,2,2
Pepper’s Grocery,Pauliene,1.03,1.338,1.4,2,3
The Grocery Outlet,Karthikey,1.024,2.528,2.1,1,3
Superstore Save-On-Foods,Rakesh,1.015,3.374,4.5,2,3
Sunrise Mart,Sambhavi,1.012,3.984,1.9,3,4
Sunrise Mart,Dipak,1.01,2.887,3.2,1,1
Clover Grocery,Karthikey,1.005,3.194,1.7,5,3
Sunrise Mart,Yamraj,1.002,3.137,6.3,5,3
